,Location,Price,Sqft,Bath,Bed,Street,zipcode
459,"2210 Hartford Rd, Austin, TX 78703",1750000.0,2051,2,3,2210 Hartford Rd, 78703
460,"6308 Dorchester Dr, Austin, TX 78723",790000.0,1872,3,4,6308 Dorchester Dr, 78723
461,"424 Racetrack Dr, Austin, TX 78748",574900.0,1947,2,3,424 Racetrack Dr, 78748
462,"1111 Village Green Dr, Austin, TX 78753",375000.0,1102,2,3,1111 Village Green Dr, 78753
463,"290 Lexington Dr, Austin, TX 78737",600000.0,2174,2,3,290 Lexington Dr, 78737
465,"819 Kemp Hills Dr, Austin, TX 78737",750000.0,2146,3,4,819 Kemp Hills Dr, 78737
466,"11800 Gate Way, Austin, TX 78727",695000.0,1972,2,3,11800 Gate Way, 78727
467,"5703 Glenhollow Path, Austin, TX 78745",399900.0,1103,1,4,5703 Glenhollow Path, 78745
468,"8124 City Top Blvd, Austin, TX 78724",490000.0,2313,3,4,8124 City Top Blvd, 78724
469,"5611 Magee Bnd, Austin, TX 78749",675000.0,2775,3,4,5611 Magee Bnd, 78749
470,"11502 JOHNNY WEISMULLER LN, Austin, TX 78748",450000.0,1707,3,3,11502 JOHNNY WEISMULLER LN, 78748
471,"6631 Dogwood Creek Dr, Austin, TX 78746",1875000.0,3615,4,4,6631 Dogwood Creek Dr, 78746
472,"1305 Meriden Ln, Austin, TX 78703",4500000.0,5385,5,5,1305 Meriden Ln, 78703
473,"7907 Northforest Dr, Austin, TX 78759",592000.0,1481,2,3,7907 Northforest Dr, 78759
474,"5961 Salcon Cliff Dr, Austin, TX 78749",599900.0,1892,2,3,5961 Salcon Cliff Dr, 78749
475,"4307 Churchill Downs Dr, Austin, TX 78746",7250000.0,5719,7,5,4307 Churchill Downs Dr, 78746
476,"5102 Beverly Skyline, Austin, TX 78731",3950000.0,5084,7,5,5102 Beverly Skyline, 78731
477,"1301 Cedar Stand Pass, Austin, TX 78748",475000.0,1895,3,3,1301 Cedar Stand Pass, 78748
478,"10912 Sierra Oaks, Austin, TX 78759",825000.0,2295,3,4,10912 Sierra Oaks, 78759
479,"1501 Damon Rd #1, Austin, TX 78745",775000.0,2248,3,4,1501 Damon Rd #1, 78745
480,"2508 E 4th St #A, Austin, TX 78702",674000.0,865,3,2,2508 E 4th St #A, 78702
481,"812 W Mary St, Austin, TX 78704",2750000.0,2606,3,3,812 W Mary St, 78704
482,"6312 Avery Island Ave, Austin, TX 78727",380000.0,1020,2,2,6312 Avery Island Ave, 78727
483,"3141 Wavecrest Blvd, Austin, TX 78728",460000.0,1962,2,4,3141 Wavecrest Blvd, 78728
484,"5203 Periwinkle Path, Austin, TX 78745",659000.0,1583,2,3,5203 Periwinkle Path, 78745
485,"11104 Amesite Trl, Austin, TX 78726",825000.0,2998,3,4,11104 Amesite Trl, 78726
486,"6809 Mesa Dr, Austin, TX 78731",1249888.0,2899,3,3,6809 Mesa Dr, 78731
487,"8212 Spire Vw, Austin, TX 78744",769000.0,2504,3,4,8212 Spire Vw, 78744
488,"5905 Zachary Scott St, Austin, TX 78747",379000.0,1398,2,3,5905 Zachary Scott St, 78747
489,"14806 Running Deer Trl, Austin, TX 78734",595000.0,2212,3,3,14806 Running Deer Trl, 78734
490,"7709 Saddle Up Dr, Austin, TX 78724",549900.0,2381,3,4,7709 Saddle Up Dr, 78724
491,"2140 McCloskey St, Austin, TX 78723",850000.0,1439,2,3,2140 McCloskey St, 78723
492,"10424 Turnbull Loop, Austin, TX 78717",490000.0,1864,3,3,10424 Turnbull Loop, 78717
493,"4615 White Elm Dr, Austin, TX 78749",724500.0,1654,2,3,4615 White Elm Dr, 78749
494,"6609 Loretta White Ln, Austin, TX 78744",475000.0,2621,3,4,6609 Loretta White Ln, 78744
495,"4200 Cat Mountain Dr, Austin, TX 78731",2150000.0,4834,6,5,4200 Cat Mountain Dr, 78731
496,"8304 Yokohama Ter, Austin, TX 78744",574500.0,2362,3,3,8304 Yokohama Ter, 78744
497,"8320 Montoya Cir, Austin, TX 78717",575000.0,2444,3,4,8320 Montoya Cir, 78717
498,"10108 Talleyran Dr, Austin, TX 78750",850000.0,3037,3,3,10108 Talleyran Dr, 78750
499,"4603 Quicksilver Blvd, Austin, TX 78744",370000.0,1239,2,3,4603 Quicksilver Blvd, 78744
500,"4610 Halliday Ave, Austin, TX 78725",330000.0,1225,2,3,4610 Halliday Ave, 78725
501,"4905 W Market Dr, Austin, TX 78731",850000.0,1492,2,3,4905 W Market Dr, 78731
502,"7812 Crystalbrook W, Austin, TX 78724",485000.0,2089,3,4,7812 Crystalbrook W, 78724
503,"11311 April Dr, Austin, TX 78753",675000.0,1935,3,4,11311 April Dr, 78753
504,"6615 Galindo St, Austin, TX 78741",330000.0,858,1,3,6615 Galindo St, 78741
505,"4705 Balcones Dr, Austin, TX 78731",1400000.0,3043,3,4,4705 Balcones Dr, 78731
506,"6614 Carisbrooke Ln, Austin, TX 78754",394500.0,1806,2,3,6614 Carisbrooke Ln, 78754
507,"1010 E 44th St, Austin, TX 78751",775000.0,981,2,2,1010 E 44th St, 78751
508,"6916 Doyal Dr, Austin, TX 78747",355000.0,1350,3,3,6916 Doyal Dr, 78747
509,"8902 Meridian Oak Ln, Austin, TX 78744",489000.0,2697,3,4,8902 Meridian Oak Ln, 78744
510,"2400 Aldford Dr, Austin, TX 78745",445000.0,1268,1,3,2400 Aldford Dr, 78745
511,"6009 Glen Meadow Dr, Austin, TX 78745",549900.0,1283,2,3,6009 Glen Meadow Dr, 78745
512,"1106 Enfield Rd, Austin, TX 78703",1375000.0,1722,2,3,1106 Enfield Rd, 78703
513,"2411 Eagle Point, Lakeway, TX 78734",597000.0,2304,2,3,2411 Eagle Point, 78734
514,"1912 Montana Sky Dr, Austin, TX 78727",507000.0,2691,3,4,1912 Montana Sky Dr, 78727
515,"5506 Kings Hwy, Austin, TX 78745",497000.0,1282,2,3,5506 Kings Hwy, 78745
516,"2705 1/2 Stratford Dr, Austin, TX 78746",6500000.0,4776,5,5,2705 1/2 Stratford Dr, 78746
517,"6501 Krollton Dr, Austin, TX 78745",625000.0,1354,2,3,6501 Krollton Dr, 78745
518,"13700 Camp Comfort Ln, Austin, TX 78717",899900.0,3047,3,5,13700 Camp Comfort Ln, 78717
519,"9004 Hunters Trce, Austin, TX 78758",467000.0,1503,2,3,9004 Hunters Trce, 78758
520,"4808 Shoal Creek Blvd, Austin, TX 78756",765000.0,2004,2,3,4808 Shoal Creek Blvd, 78756
521,"7302 Meador Ave, Austin, TX 78752",568000.0,1429,2,3,7302 Meador Ave, 78752
522,"1301 Pike Rd, Austin, TX 78734",550000.0,1170,1,2,1301 Pike Rd, 78734
523,"3201 Catalina Dr, Austin, TX 78741",589000.0,2046,3,4,3201 Catalina Dr, 78741
524,"1701 Pasadena Dr, Austin, TX 78757",1875000.0,2912,4,4,1701 Pasadena Dr, 78757
525,"2115 Elysian Flds, Austin, TX 78727",495999.0,1458,2,3,2115 Elysian Flds, 78727
526,"8803 Sansom Rd, Austin, TX 78754",679000.0,3565,3,5,8803 Sansom Rd, 78754
527,"8404 Sweet Cherry Dr, Austin, TX 78750",1050000.0,3064,3,5,8404 Sweet Cherry Dr, 78750
528,"1801 W Saint Johns Ave, Austin, TX 78757",665500.0,1516,2,3,1801 W Saint Johns Ave, 78757
529,"2503 Deerfoot Trl, Austin, TX 78704",2475000.0,2480,3,4,2503 Deerfoot Trl, 78704
530,"4524 Chesney Ridge Dr, Austin, TX 78749",548000.0,1744,2,3,4524 Chesney Ridge Dr, 78749
531,"3204 Belgrave Falls Ln, Austin, TX 78748",559000.0,2554,3,3,3204 Belgrave Falls Ln, 78748
532,"1303 Richcreek Rd, Austin, TX 78757",775000.0,1522,2,3,1303 Richcreek Rd, 78757
533,"1303 S 5th St, Austin, TX 78704",625000.0,666,1,2,1303 S 5th St, 78704
534,"1909 Rinker Ranch Dr, Austin, TX 78725",395000.0,1370,2,3,1909 Rinker Ranch Dr, 78725
535,"4913 Single Shot Cir, Austin, TX 78723",480000.0,1209,2,3,4913 Single Shot Cir, 78723
536,"12109 Buckingham Gate Rd, Austin, TX 78748",435000.0,1265,2,3,12109 Buckingham Gate Rd, 78748
537,"5017 Trail West Dr, Austin, TX 78735",978000.0,2389,3,4,5017 Trail West Dr, 78735
538,"2306 Bowman Ave, Austin, TX 78703",1695000.0,2774,2,4,2306 Bowman Ave, 78703
539,"6604 Lexington Rd, Austin, TX 78757",1385000.0,2501,3,5,6604 Lexington Rd, 78757
540,"2006 Ann Arbor Ave, Austin, TX 78704",1685000.0,2777,3,4,2006 Ann Arbor Ave, 78704
541,"1706 Rockmoor Ave, Austin, TX 78703",4395000.0,3689,4,3,1706 Rockmoor Ave, 78703
542,"9000 Pin Brush Dr, Austin, TX 78748",550000.0,2068,3,3,9000 Pin Brush Dr, 78748
543,"1408 Wooten Dr, Austin, TX 78757",475000.0,1303,2,3,1408 Wooten Dr, 78757
545,"107 W Concord Cir, Austin, TX 78737",899999.0,2891,3,4,107 W Concord Cir, 78737
546,"150 Saint Richie Ln, Austin, TX 78737",595000.0,2064,2,3,150 Saint Richie Ln, 78737
