Location,Price,Sq. ft.,Ba,Br,Link
"13561 Anarosa Loop, Austin, TX 78727","$380,000 ","2,304 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/13561-Anarosa-Loop-Austin-TX-78727/29445146_zpid/
"3908 Sojourner St, Austin, TX 78725","$339,900 ","1,780 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/3908-Sojourner-St-Austin-TX-78725/60135169_zpid/
"2308 Toulouse Dr, Austin, TX 78748","$799,000 ","2,422 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/2308-Toulouse-Dr-Austin-TX-78748/29506699_zpid/
"12309 Wycliff Ln, Austin, TX 78727","$535,000 ","1,666 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/12309-Wycliff-Ln-Austin-TX-78727/29442434_zpid/
"5417 Ketch Ct, Austin, TX 78730","$839,000 ","2,587 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/5417-Ketch-Ct-Austin-TX-78730/29359407_zpid/
"9912 Pumpkin Ridge Ct, Austin, TX 78717","$650,000 ","2,199 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/9912-Pumpkin-Ridge-Ct-Austin-TX-78717/60335900_zpid/
"2541 Lavendale Ct, Austin, TX 78748","$500,000 ","2,757 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/2541-Lavendale-Ct-Austin-TX-78748/58317416_zpid/
"10702 Spicewood Pkwy, Austin, TX 78750","$1,000,000 ","2,319 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/10702-Spicewood-Pkwy-Austin-TX-78750/29372607_zpid/
"11447 Ptarmigan Dr #1, Austin, TX 78758","$450,000 ","1,870 sqft",#NAME?,#NAME?,https://www.zillow.com/homedetails/11447-Ptarmigan-Dr-1-Austin-TX-78758/58304750_zpid/
"1311 Quail Park Dr, Austin, TX 78758","$619,000 ","2,143 sqft",3 ba,5 bds,https://www.zillow.com/homedetails/1311-Quail-Park-Dr-Austin-TX-78758/29427408_zpid/
"1914 Piedmont Ave, Austin, TX 78757","$1,895,000 ","2,885 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/1914-Piedmont-Ave-Austin-TX-78757/29418000_zpid/
"1111 Speer Ln, Austin, TX 78745","$549,900 ","1,202 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/1111-Speer-Ln-Austin-TX-78745/29493018_zpid/
"10617 Sans Souci Pl, Austin, TX 78759","$765,000 ","2,559 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/10617-Sans-Souci-Pl-Austin-TX-78759/29366331_zpid/
"5104 Eagle Trace Trl, Austin, TX 78730","$1,470,000 ","3,567 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/5104-Eagle-Trace-Trl-Austin-TX-78730/29359445_zpid/
"6307 Capriola Dr, Austin, TX 78745","$524,900 ","1,392 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/6307-Capriola-Dr-Austin-TX-78745/29493224_zpid/
"6100 Llano Stage Trl, Austin, TX 78738","$799,900 ","3,269 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/6100-Llano-Stage-Trl-Austin-TX-78738/145654426_zpid/
"5903 Bullard Dr, Austin, TX 78757","$700,000 ","2,214 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/5903-Bullard-Dr-Austin-TX-78757/29415951_zpid/
"7511 Eastcrest Dr, Austin, TX 78752","$750,000 ","2,068 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/7511-Eastcrest-Dr-Austin-TX-78752/2122340516_zpid/
"7448 Aspen Brook Dr, Austin, TX 78744","$400,000 ","1,992 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/7448-Aspen-Brook-Dr-Austin-TX-78744/79980707_zpid/
"8600 Winterstein Dr, Austin, TX 78745","$575,000 ","1,438 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/8600-Winterstein-Dr-Austin-TX-78745/70342934_zpid/
"2908 Six Gun Trl, Austin, TX 78748","$675,000 ","2,836 sqft",4 ba,3 bds,https://www.zillow.com/homedetails/2908-Six-Gun-Trl-Austin-TX-78748/29513377_zpid/
"8813 Sikes Way, Austin, TX 78747","$460,000 ","1,823 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/8813-Sikes-Way-Austin-TX-78747/305426400_zpid/
"10304 Golden Quail Dr, Austin, TX 78758","$585,000 ","1,932 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/10304-Golden-Quail-Dr-Austin-TX-78758/29432337_zpid/
"11507 Shoreview Overlook, Austin, TX 78732","$1,999,000 ","4,351 sqft",5 ba,5 bds,https://www.zillow.com/homedetails/11507-Shoreview-Overlook-Austin-TX-78732/120901522_zpid/
"9808 Lavon Bnd, Austin, TX 78717","$1,395,000 ","5,015 sqft",6 ba,5 bds,https://www.zillow.com/homedetails/9808-Lavon-Bnd-Austin-TX-78717/250824849_zpid/
"2504 Elara Dr, Austin, TX 78725","$375,000 ","1,754 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/2504-Elara-Dr-Austin-TX-78725/89545743_zpid/
"7806 Jackson Graham Dr, Austin, TX 78724","$549,900 ","2,381 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/7806-Jackson-Graham-Dr-Austin-TX-78724/337141284_zpid/
"1199 San Bernard St, Austin, TX 78702","$450,000 ",677 sqft,1 ba,2 bds,https://www.zillow.com/homedetails/1199-San-Bernard-St-Austin-TX-78702/29386794_zpid/
"8711 Dandelion Trl, Austin, TX 78745","$466,000 ","1,664 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/8711-Dandelion-Trl-Austin-TX-78745/29501460_zpid/
"3624 Bratton Heights Dr, Austin, TX 78728","$419,000 ","1,665 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/3624-Bratton-Heights-Dr-Austin-TX-78728/29454471_zpid/
"4321 City Park Rd, Austin, TX 78730","$7,200,000 ","5,394 sqft",6 ba,5 bds,https://www.zillow.com/homedetails/4321-City-Park-Rd-Austin-TX-78730/305425443_zpid/
"9009 North Plz UNIT 133, Austin, TX 78753","$298,500 ","2,098 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/9009-North-Plz-UNIT-133-Austin-TX-78753/2132573707_zpid/
"6205 Sendero Hills Pkwy, Austin, TX 78724","$699,900 ","2,279 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/6205-Sendero-Hills-Pkwy-Austin-TX-78724/306647624_zpid/
"11214 Hidden Bluff Dr, Austin, TX 78754","$609,000 ","1,800 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/11214-Hidden-Bluff-Dr-Austin-TX-78754/29431867_zpid/
"6107 Mountain Villa Dr, Austin, TX 78731","$2,100,000 ","4,000 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/6107-Mountain-Villa-Dr-Austin-TX-78731/29349520_zpid/
"8411 Galeana Trace Cv, Austin, TX 78733","$3,000,000 ","4,609 sqft",5 ba,5 bds,https://www.zillow.com/homedetails/8411-Galeana-Trace-Cv-Austin-TX-78733/79980402_zpid/
"9636 Chukar Cir, Austin, TX 78758","$600,000 ","1,489 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/9636-Chukar-Cir-Austin-TX-78758/29429877_zpid/
"11007 Spear Oak Cv, Austin, TX 78759","$899,000 ","2,428 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/11007-Spear-Oak-Cv-Austin-TX-78759/29367902_zpid/
"14104 Luisium Vw #69, Pflugerville, TX 78660","$425,000 ","1,859 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/14104-Luisium-Vw-69-Pflugerville-TX-78660/305432151_zpid/
"5512 Joe Sayers Ave, Austin, TX 78756","$300,000 ",576 sqft,1 ba,2 bds,https://www.zillow.com/homedetails/5512-Joe-Sayers-Ave-Austin-TX-78756/29412365_zpid/
